Time,air_temp_10 ---> air_temp_9,air_temp_9 ---> air_temp_8,air_temp_8 ---> air_temp_7,air_temp_7 ---> air_temp_6,air_temp_6 ---> air_temp_5,air_temp_5 ---> air_temp_4,air_temp_4 ---> air_temp_3,air_temp_3 ---> air_temp_2
2020-11-20 00:00:16,1.991050314817525e-07,1.834869566080127e-07,5.617847544461717e-07,1.6617276795821324e-07,2.2644022087793166e-08,1.1028266237688943e-07,-4.01257845794089e-08,2.1303412547669126e-06
2020-11-20 01:00:16,1.9900758516721058e-07,1.9345144169489822e-07,1.91212843812943e-05,2.7846619425896893e-07,2.1332364497893056e-08,2.719898499845196e-08,-3.288113498061557e-08,4.915029932498696e-06
2020-11-20 02:00:16,1.9930504979522125e-07,2.0364988615795172e-07,-2.355206651427576e-06,3.957280889670535e-07,2.0422850758288338e-08,-3.647232576098683e-08,-2.5559985218996693e-08,-2.8391702738131642e-06
2020-11-20 03:00:16,1.9949512957329442e-07,2.1380175256033564e-07,-2.0334239547669364e-06,5.106440873369896e-07,1.9875701389246043e-08,-8.944613654963446e-08,-1.9176676613850272e-08,-7.026529569026163e-07
2020-11-20 04:00:16,1.9946771424453578e-07,2.237224706952559e-07,-2.151841294465146e-06,6.396463434776996e-07,1.9638173049057196e-08,-1.183278200916747e-07,-1.4456996633016782e-08,-3.1286429238567836e-07
2020-11-20 05:00:16,1.9965585061035072e-07,2.333408966006043e-07,-2.4697764906475458e-06,7.96974147625148e-07,1.9691941531686723e-08,-1.280486160181625e-07,-1.1335580799434807e-08,-1.7159185520410132e-07
2020-11-20 06:00:16,2.005693408079867e-07,2.428536083655544e-07,-3.081273768736184e-06,9.94252506275489e-07,1.9892586605288234e-08,-1.2309693689035165e-07,-9.459608750657117e-09,-1.0455322143494622e-07
2020-11-20 07:00:16,2.0156877970365832e-07,2.5238596408144584e-07,-4.0698662368145515e-06,1.262421784435973e-06,2.0265724715442996e-08,-1.1188694532872201e-07,-8.301644089494703e-09,-6.739040969823099e-08
2020-11-20 08:00:16,2.0295980989807407e-07,2.619498903674639e-07,-5.524920264667715e-06,1.6759472626844941e-06,2.074660951043378e-08,-8.914315043534747e-08,-7.660668609800706e-09,-4.2368589739046634e-08
2020-11-20 09:00:16,2.0493865146954627e-07,2.718537855254076e-07,-7.934203717393172e-06,2.383556018991336e-06,2.1234271441084652e-08,-6.370368730464542e-08,-7.379809178263312e-09,-2.4558183419838954e-08
2020-11-20 10:00:16,2.0799681225949276e-07,2.821185734227423e-07,-1.2276720362576897e-05,3.8726431756643e-06,2.1672545912113922e-08,-3.9450990698715106e-08,-7.373180997637712e-09,-1.163123599452859e-08
2020-11-20 11:00:16,2.1227544470905327e-07,2.935502268524203e-07,-1.8409452261943386e-05,9.21012546804596e-06,2.194027406265943e-08,-2.3118893645211385e-08,-7.56574645040402e-09,-2.9908079182233374e-09
2020-11-20 12:00:16,2.179288105246145e-07,3.0724030249783983e-07,-2.1392979140596718e-05,-3.5394320139146164e-05,2.201265169433531e-08,-1.5592172468525717e-08,-7.86193558766023e-09,8.147438222845949e-10
2020-11-20 13:00:16,2.241523514515946e-07,3.2374020765027913e-07,-1.8779160398684783e-05,-6.730966704091611e-06,2.1897667495571523e-08,-2.2004617033610775e-08,-8.203701187817048e-09,1.0606444965964472e-09
2020-11-20 14:00:16,2.300667160552816e-07,3.4671868020398226e-07,-1.6637227022343538e-05,-4.088989410061649e-06,2.1612377638310966e-08,-5.2902781318193664e-08,-8.513937566539625e-09,-2.359221878794817e-10
2020-11-20 15:00:16,2.3608254081958964e-07,3.7523654183961767e-07,-1.4969754540936852e-05,-3.1267892213119072e-06,2.1229707083921435e-08,-1.0104248487317154e-07,-8.68167752367693e-09,-1.9203446529951944e-09
2020-11-20 16:00:16,2.4256786300967773e-07,4.0707994102330745e-07,-1.5210587450391988e-05,-2.6847889704642623e-06,2.0851413814129527e-08,-1.6100472669221326e-07,-8.670364586446978e-09,-2.6215908732104648e-09
2020-11-20 17:00:16,2.48789972421528e-07,4.410550440073805e-07,-2.0733219311820796e-05,-2.4669875619169673e-06,2.0612313157735362e-08,-2.186090099321993e-07,-8.480011848049469e-09,-1.4400200944775617e-09
2020-11-20 18:00:16,2.5242027269493607e-07,4.7425820971651965e-07,-0.00010666065998576761,-2.380602764798583e-06,2.0627681329530027e-08,-2.4905017229113545e-07,-8.132042378344843e-09,2.0833881384906114e-09
2020-11-20 19:00:16,2.53463004180645e-07,5.030507937050137e-07,2.1247157836823393e-05,-2.3237890434461334e-06,2.0971115525408055e-08,-2.4946577574195094e-07,-7.741002251111566e-09,6.622624052815884e-09
2020-11-20 20:00:16,2.5325302108945596e-07,5.254025057877172e-07,8.856380344524013e-06,-2.2275563499341562e-06,2.1676623320966504e-08,-2.1800140610027214e-07,-7.390605028016036e-09,1.2187518836324168e-08
2020-11-20 21:00:16,2.5232043748751354e-07,5.421512794711952e-07,5.502982970442272e-06,-2.052617357308207e-06,2.272152280779331e-08,-1.6462053404874035e-07,-7.15057045927176e-09,1.7712521697721997e-08
2020-11-20 22:00:16,2.515164441305325e-07,5.539811140417262e-07,4.013639964564332e-06,-1.792210893006322e-06,2.4048814568302786e-08,-9.603033135141441e-08,-7.04476589920205e-09,2.3326380823007644e-08
2020-11-20 23:00:16,2.5075638733672935e-07,5.629157156521828e-07,3.193281550346968e-06,-1.4720032009989335e-06,2.559917758804623e-08,-1.9164734260684982e-08,-7.094550986570163e-09,2.8740848764700746e-08
2020-11-21 00:00:16,2.523684196752015e-07,5.688540958933396e-07,2.680820853135888e-06,-1.12947517521426e-06,2.7299249383465283e-08,6.270698721115919e-08,-7.2972574978383745e-09,3.379405447851768e-08
2020-11-21 01:00:16,2.519974447637608e-07,5.735659028502531e-07,2.327582655101976e-06,-7.993953060400673e-07,2.9075156563256135e-08,1.486323360589744e-07,-7.652526908712512e-09,3.887840519316758e-08
2020-11-21 02:00:16,2.5105766751007126e-07,5.770236851113081e-07,2.073972396341675e-06,-5.065479533356594e-07,3.088830021853004e-08,2.406036471675321e-07,-8.181315989911358e-09,4.347739494663849e-08
2020-11-21 03:00:16,2.5099686925902795e-07,5.812451515154481e-07,1.8838834909933843e-06,-2.677532913038061e-07,3.265287823010279e-08,3.29521279490985e-07,-8.836048327108154e-09,4.791449877734976e-08
2020-11-21 04:00:16,2.5036848020054133e-07,5.856103777849346e-07,1.7391667800602202e-06,-8.54652989468533e-08,3.4333922354154504e-08,4.134742800407903e-07,-9.610590799593586e-09,5.221830633254505e-08
2020-11-21 05:00:16,2.5000981415675527e-07,5.895992033447108e-07,1.619627975796876e-06,4.657185527819735e-08,3.5919228048560054e-08,4.943606064188558e-07,-1.0491894463140908e-08,5.619690115283953e-08
2020-11-21 06:00:16,2.5075743475852077e-07,5.943415733981832e-07,1.5195450987258544e-06,1.4162603925853564e-07,3.735537487427317e-08,5.740588519362922e-07,-1.1479559222399183e-08,5.961383916418321e-08
2020-11-21 07:00:16,2.5254687018999367e-07,6.021238158537306e-07,1.4370831878548215e-06,2.1185619649084928e-07,3.863720088680211e-08,6.406787424039706e-07,-1.2536798370979639e-08,6.248884663691594e-08
2020-11-21 08:00:16,2.550510539339867e-07,6.130056759653137e-07,1.3719152959032783e-06,2.639785729154202e-07,3.9770048360982936e-08,7.035021918298281e-07,-1.3606401888194388e-08,6.515794323271595e-08
2020-11-21 09:00:16,2.569263585629412e-07,6.261569455115238e-07,1.3226538349577157e-06,3.0343982559734063e-07,4.077551119962487e-08,7.565772498494836e-07,-1.4679998520730624e-08,6.74597058419969e-08
2020-11-21 10:00:16,2.5829580528978935e-07,6.390100394403128e-07,1.2856052163897896e-06,3.331052071114476e-07,4.1724938051466415e-08,7.993972230273068e-07,-1.572272686677439e-08,6.961767266245847e-08
2020-11-21 11:00:16,2.5909791681279793e-07,6.489196500130758e-07,1.2554400075528762e-06,3.5388841749403237e-07,4.271486358634261e-08,8.393548223462825e-07,-1.6739593482290626e-08,7.182798738096612e-08
2020-11-21 12:00:16,2.6058470199036207e-07,6.565206859658045e-07,1.22815104114516e-06,3.666094412548169e-07,4.38561990798173e-08,8.838729661951551e-07,-1.7761259129149872e-08,7.378802379663727e-08
2020-11-21 13:00:16,2.636687725566903e-07,6.658510044388692e-07,1.2048616534732856e-06,3.7470152892565325e-07,4.514142836451843e-08,9.330696478258031e-07,-1.87694487735515e-08,7.618331331997342e-08
2020-11-21 14:00:16,2.669326490307868e-07,6.788557277446613e-07,1.1903511576191066e-06,3.823294089235463e-07,4.661843694883531e-08,9.852888168990287e-07,-1.9770930137776116e-08,7.898434056568962e-08
2020-11-21 15:00:16,2.693628396669362e-07,6.925383603506075e-07,1.1827808885688756e-06,3.9114951880527994e-07,4.8437142349565426e-08,1.056587365540719e-06,-2.082789955742073e-08,8.27459595078662e-08
2020-11-21 16:00:16,2.7086730814924235e-07,7.059933051797136e-07,1.1777857221037027e-06,4.030084135114409e-07,5.073129612777528e-08,1.1355207080643458e-06,-2.2017206404930576e-08,8.770846917930242e-08
2020-11-21 17:00:16,2.7006073962328115e-07,7.166720516500353e-07,1.1763160240328468e-06,4.1653975090965514e-07,5.369896433348654e-08,1.2412217655165996e-06,-2.3508191769012953e-08,9.428861426207551e-08
2020-11-21 18:00:16,2.668460579591377e-07,7.192709804782005e-07,1.1719351906250213e-06,4.3007959128357334e-07,5.7517004893919714e-08,1.3984119325538794e-06,-2.5559230484689883e-08,1.0206451941364993e-07
2020-11-21 19:00:16,2.6224307033271726e-07,7.099770656924836e-07,1.1568191840989248e-06,4.4050641575136257e-07,6.233036747437672e-08,1.6112834792514015e-06,-2.8434197807530323e-08,1.1167649416062706e-07
2020-11-21 20:00:16,2.595754980748753e-07,6.93973980564576e-07,1.1277511955850492e-06,4.45367769211442e-07,6.825956515959709e-08,1.8951734679289953e-06,-3.2573619696872705e-08,1.227945655714148e-07
2020-11-21 21:00:16,2.599882440973269e-07,6.784332532823105e-07,1.0853144276962117e-06,4.4429973008514185e-07,7.499851333620695e-08,2.2476196795525024e-06,-3.853687925546205e-08,1.3499825846623093e-07
2020-11-21 22:00:16,2.604644411761956e-07,6.685120198180977e-07,1.0364427798157167e-06,4.377881312357952e-07,8.209804266103833e-08,2.666479214893254e-06,-4.663446161024054e-08,1.486147746009182e-07
2020-11-21 23:00:16,2.6098314350454975e-07,6.585771461436312e-07,9.857265241825293e-07,4.265842317674758e-07,8.934798136501552e-08,3.1264356551259785e-06,-5.7193125961178404e-08,1.6401628932768403e-07
2020-11-22 00:00:16,2.6232334516711996e-07,6.49519733256639e-07,9.351461318488672e-07,4.1227507110439056e-07,9.650068424264242e-08,3.6313641593148063e-06,-7.069541039169161e-08,1.8107033483480832e-07
2020-11-22 01:00:16,2.6353578660848375e-07,6.412098436733572e-07,8.890886572849689e-07,3.961906202194699e-07,1.0331038363532626e-07,4.159195239973673e-06,-8.753055216926636e-08,1.9966350161782792e-07
2020-11-22 02:00:16,2.6597643317658623e-07,6.339643436626142e-07,8.492228960992353e-07,3.7925399756180006e-07,1.0954248846873809e-07,4.691613142852755e-06,-1.0799624495406592e-07,2.190849719294336e-07
2020-11-22 03:00:16,2.690302926198822e-07,6.295612840302147e-07,8.175559960757001e-07,3.632380151275779e-07,1.1502185113143227e-07,5.204632550903725e-06,-1.3232616795462682e-07,2.396237211169445e-07
2020-11-22 04:00:16,2.729626767080085e-07,6.279016048690713e-07,7.959280755840858e-07,3.495411277600516e-07,1.196281434858739e-07,5.679688138165096e-06,-1.61227521692708e-07,2.604263826432692e-07
